Instrument,Volume,Open,ExtValue,Rho,Theta,Vega,Gamma,Î”|Delta,Last,Size,Type,Strike,Bid,Ask,Mark,IV Bid,IV Ask,Maturity
SOL_USDC-30MAY25-110-C,830,990,,0.08227,-0.13768,0.17153,0.00933,0.6267,18.6,250,call,110.0,17.6,19.4,18.7871,82.61,93.1,30MAY25
SOL_USDC-30MAY25-110-P,400,370,,-0.08592,-0.13768,0.17153,0.00933,-0.3733,12.0,130,put,110.0,12.3,13.6,12.9524,85.83,93.4,30MAY25
SOL_USDC-25APR25-110-C,560,1160,,0.03419,-0.23859,0.10411,0.01427,0.63355,12.2,250,call,110.0,12.5,13.8,13.4007,86.49,99.0,25APR25
SOL_USDC-25APR25-110-P,1940,14140,,-0.02852,-0.23859,0.10411,0.01427,-0.36645,8.0,250,put,110.0,7.3,7.9,7.5897,92.72,98.48,25APR25
SOL_USDC-18APR25-116-C,490,1330,,0.02016,-0.31773,0.08955,0.018,0.53521,7.9,240,call,116.0,8.4,8.9,8.7194,94.36,99.95,18APR25
SOL_USDC-18APR25-116-P,10,10,,-0.02373,-0.31773,0.08955,0.018,-0.46479,9.5,240,put,116.0,8.6,9.2,8.8847,94.88,101.58,18APR25
SOL_USDC-11APR25-116-C,7740,11040,,0.0101,-0.49741,0.06299,0.0234,0.52541,6.2,220,call,116.0,6.4,6.9,6.6922,102.71,110.65,11APR25
SOL_USDC-11APR25-116-P,5240,12380,,-0.01154,-0.49741,0.06299,0.0234,-0.47459,7.0,220,put,116.0,6.6,7.2,6.8812,104.85,112.79,11APR25
SOL_USDC-6APR25-114-C,30,30,,0.00324,-0.89533,0.03149,0.04598,0.60123,3.8,250,call,114.0,4.1,4.5,4.3051,95.94,108.65,6APR25
SOL_USDC-6APR25-114-P,320,320,,-0.00241,-0.89533,0.03149,0.04598,-0.39877,2.8,540,put,114.0,2.3,2.6,2.4941,97.05,106.58,6APR25
SOL_USDC-5APR25-114-C,1160,880,,0.00151,-1.26647,0.02078,0.05731,0.61916,3.1,250,call,114.0,3.4,3.9,3.6605,110.52,129.79,5APR25
SOL_USDC-5APR25-114-P,600,1240,,-0.00102,-1.26647,0.02078,0.05731,-0.38084,2.3,520,put,114.0,1.6,2.0,1.8085,111.05,130.32,5APR25
